"","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP"
"1",-0.768774125666903,0.533414833984082,-0.494542065011106,-2.22882657941366,-3.53101553906465,-2.50305864006946
"2",-0.784017151859078,0.523645707729893,-0.51772519377771,-2.20357469460984,-3.51123755419882,-2.46986665269121
"3",-0.799927918730267,0.513627923413781,-0.538429477796713,-2.17765506912701,-3.49121091127106,-2.43915351006057
"4",-0.815154591412106,0.502522280059352,-0.558324647075087,-2.15241953783353,-3.47009640930499,-2.40924948217055
"5",-0.828345335036232,0.489489576690209,-0.579080431619808,-2.12921993559777,-3.44705484732421,-2.37848483901419
"6",-0.838549064195205,0.473801207961882,-0.60208079478644,-2.10900734782715,-3.42135761998424,-2.34547561723592
"7",-0.846417691325283,0.455170951057594,-0.62756663332492,-2.09112986208543,-3.39271850446831,-2.3099809200858
"8",-0.853003878323648,0.433423178792494,-0.655493077333775,-2.07453481647543,-3.36096187359157,-2.2720456174653
"9",-0.859360287087484,0.408382263981728,-0.685815256911536,-2.05816954909995,-3.32591210016916,-2.2317145792759
"10",-0.866539579513971,0.379872579440446,-0.718488302156729,-2.04098139806182,-3.28739355701624,-2.18903267541906
"11",-0.875387712425439,0.34771136297066,-0.753140008593532,-2.02212440653871,-3.24522348193481,-2.14437211037062
"12",-0.885923822344793,0.311687312321846,-0.788088833448707,-2.00157943800771,-3.19919057267435,-2.0994144269038
"13",-0.897960340720088,0.271581990230342,-0.821325899374671,-1.97953406102078,-3.14907639197121,-2.05616850236619
"14",-0.911309698999376,0.227176959432491,-0.850842329023833,-1.95617584412985,-3.09466250256171,-2.01664321410539
"15",-0.92578432863071,0.178253782664631,-0.874629245048608,-1.93169235588687,-3.03573046718221,-1.98284743946897
"16",-0.941107295465055,0.124752497053948,-0.891339906010038,-1.90636053044088,-2.97222032295989,-1.9561279198959
"17",-0.956644202965032,0.0672470372909936,-0.90227611410368,-1.88081476432926,-2.90470600458529,-1.93518285319062
"18",-0.971671288996173,0.0064698124571708,-0.909401807433725,-1.85577881968648,-2.83391992113983,-1.91804830124893
"19",-0.985464791424013,-0.0568467683661271,-0.91468092410436,-1.831976458647,-2.76059448170489,-1.90276032596665
"20",-0.997300948114083,-0.121970296097496,-0.920077402219773,-1.81013144334529,-2.68546209536188,-1.8873549892396
"21",-1.00669823550919,-0.188213448490111,-0.927189697376822,-1.79072529733854,-2.60921008435762,-1.87023383547091
"22",-1.01414408436122,-0.255069250635407,-0.936154335143045,-1.77327058987487,-2.53234542360068,-1.85126033909304
"23",-1.02036816399934,-0.322075814459398,-0.946742358578649,-1.7570376516251,-2.45533000116505,-1.8306634570458
"24",-1.02610014375271,-0.388771251888086,-0.958724810743839,-1.74129681326009,-2.37862570512472,-1.80867214626896
"25",-1.0320696929505,-0.454693674847485,-0.971872734698824,-1.72531840545066,-2.30269442355368,-1.78551536370234
"26",-1.03878089732926,-0.519321331923653,-0.985865928468817,-1.70859834246026,-2.22805790786587,-1.7615133113207
"27",-1.04583550825519,-0.581893018342881,-1.00001920993907,-1.69153487292269,-2.155477362835,-1.73735117123881
"28",-1.05260969350188,-0.641587665991511,-1.01355615195982,-1.67475182906436,-2.08577385657473,-1.71380537060641
"29",-1.05847962084292,-0.697584206755883,-1.02570032738134,-1.65887304311167,-2.01976845719871,-1.69165233657325
"30",-1.06282145805191,-0.749061572522337,-1.03567530905388,-1.64452234729104,-1.95828223282062,-1.67166849628908
"31",-1.06517830072886,-0.795309035076054,-1.04290331672047,-1.63215664600245,-1.90202591165526,-1.65443163001084
"32",-1.0657609557795,-0.836057225797565,-1.04760115769531,-1.62156513234017,-1.8512688623221,-1.63972493042436
"33",-1.06494715793597,-0.871147115966234,-1.05018428618538,-1.61237007157206,-1.80617011354179,-1.62713294332265
"34",-1.06311464193042,-0.900419676861429,-1.05106815639764,-1.60419372896597,-1.76688869403496,-1.61624021449874
"35",-1.06059235501212,-0.923861844453028,-1.05063382633294,-1.59670715727262,-1.73343766783172,-1.6066656859518
"36",-1.0575140944988,-0.942044413472968,-1.04912476916747,-1.5897765591743,-1.70524624020013,-1.59816588450563
"37",-1.0539648702253,-0.955684143343693,-1.04675006187129,-1.58331692483616,-1.68159765171777,-1.59053173319017
"38",-1.05002969202645,-0.965497793487651,-1.04371878141445,-1.57724324442337,-1.66177514296217,-1.58355415503536
"39",-1.04579356973711,-0.972202123327288,-1.04024000476701,-1.57147050810107,-1.64506195451089,-1.57702407307116
"40",-1.04132101136229,-0.976460296334378,-1.03648529147736,-1.56593420786425,-1.63079492289215,-1.57076992774917
"41",-1.03659451758771,-0.978721092177993,-1.03247613140723,-1.56065184302718,-1.6185252684369,-1.56477022920766
"42",-1.03157608726929,-0.979379694576529,-1.02819649699671,-1.55566141473396,-1.60785780742672,-1.55904100500654
"43",-1.02622771926292,-0.978831287248386,-1.02363036068587,-1.55100092412869,-1.59839735614322,-1.55359828270573
"44",-1.0205114124245,-0.97747105391196,-1.0187616949148,-1.54670837235546,-1.58974873086801,-1.54845808986517
"45",-1.01441152922729,-0.975618347403024,-1.01357220701949,-1.54279939694104,-1.5815925787653,-1.54363871914884
"46",-1.00800188661389,-0.973289197026848,-1.00803454391967,-1.53920018094279,-1.57391287052983,-1.53916752363701
"47",-1.00137866514429,-0.970423801206076,-1.00211908743101,-1.53581454380075,-1.56676940773896,-1.53507412151403
"48",-0.994638045378431,-0.966962358363353,-0.995796219369139,-1.53254630495497,-1.56022199197004,-1.53138813096426
"49",-0.987876207876291,-0.962845066921324,-0.989036321549728,-1.52929928384547,-1.55433042480043,-1.52813917017203
"50",-0.981158803160826,-0.958040275128444,-0.981832242673392,-1.52600782994929,-1.54912635798167,-1.52533439043672
"51",-0.974429361606984,-0.952628930536414,-0.97426669898061,-1.52272841289149,-1.54452884396206,-1.52289107551786
"52",-0.967600883552705,-0.946720130522742,-0.966444873596828,-1.51954803233413,-1.54042878536409,-1.52070404229
"53",-0.960586369335931,-0.94042297246494,-0.95847194964749,-1.51655368793926,-1.53671708481025,-1.5186681076277
"54",-0.953298819294603,-0.933846553740518,-0.95045311025804,-1.51383237936894,-1.53328464492303,-1.51667808840551
"55",-0.945687603390969,-0.92708521067419,-0.942478542194928,-1.51143473666094,-1.53003712937771,-1.51464379785698
"56",-0.937847570084489,-0.920174235379489,-0.93457844678862,-1.50926591135577,-1.52693924606078,-1.51253503465164
"57",-0.92990993745893,-0.913134158917146,-0.926768029010586,-1.50719468536969,-1.52397046391148,-1.51033659381804
"58",-0.922005923598058,-0.905985512347897,-0.919062493832297,-1.50508984061892,-1.52111025186908,-1.50803327038468
"59",-0.91426674658564,-0.898748826732478,-0.911477046225224,-1.5028201590197,-1.51833807887286,-1.50560985938011
"60",-0.906782575718684,-0.891446665293535,-0.904016975082197,-1.50029547127501,-1.51563138170016,-1.5030610719115
"61",-0.899479385147167,-0.884109719901374,-0.896647904981487,-1.49758980323489,-1.51295946848068,-1.50042128340057
"62",-0.892242100234307,-0.876770714588211,-0.889325544422724,-1.4948182295361,-1.5102896151822,-1.49773478534769
"63",-0.884955646343324,-0.869462373386266,-0.882005601905537,-1.49209582481544,-1.5075890977725,-1.49504586925323
"64",-0.877537857334652,-0.862208490812626,-0.874649568834226,-1.48950475521248,-1.5048341217345,-1.4923930437129
"65",-0.870038201057578,-0.85499714332385,-0.867242068231754,-1.48699555287791,-1.50203661061164,-1.48979168570373
"66",-0.862539053858609,-0.847807477861369,-0.859773506025754,-1.48448584146523,-1.49921741746247,-1.48725138929809
"67",-0.855122792084246,-0.840618641366613,-0.852234288143858,-1.48189324462795,-1.49639739534559,-1.48478174856834
"68",-0.847871792080997,-0.833409780781012,-0.844614820513699,-1.47913538601956,-1.49359739731955,-1.48239235758686
"69",-0.840837135576073,-0.826165683963918,-0.836911176976295,-1.47616118391284,-1.490832635525,-1.48008714251262
"70",-0.833944725819538,-0.818893702446377,-0.829142103026211,-1.47304473505774,-1.4880957584309,-1.47784735785106
"71",-0.827089171442163,-0.811606828677358,-0.8213320120714,-1.46989143082347,-1.48537377358828,-1.47564859019423
"72",-0.820165081074721,-0.804318055105832,-0.813505317519813,-1.46680666257927,-1.48265368854816,-1.47346642613418
"73",-0.813067063347983,-0.797040374180766,-0.805686432779402,-1.46389582169437,-1.47992251086158,-1.47127645226295
"74",-0.805712826416173,-0.789784735245539,-0.797897349067795,-1.46124120001454,-1.47716929118517,-1.46905667736291
"75",-0.798112476527315,-0.782553915221177,-0.790150368841327,-1.45883269129175,-1.47439125259789,-1.46679479897774
"76",-0.790299219452883,-0.775348647923113,-0.782455372366012,-1.45663708975454,-1.47158766128431,-1.46448093684141
"77",-0.782306260964353,-0.768169667166781,-0.774822239907862,-1.45462118963143,-1.468757783429,-1.46210521068792
"78",-0.774166806833199,-0.761017706767616,-0.767260851732888,-1.45275178515094,-1.46590088521652,-1.45965774025125
"79",-0.765918737084468,-0.75389121482491,-0.759775201833701,-1.45099099628803,-1.46301851854759,-1.4571345315388
"80",-0.757618628757499,-0.746779496573389,-0.752345739109308,-1.44928224600336,-1.46012137818747,-1.45455513565155
"81",-0.7493277331452,-0.739669571531638,-0.74494702618531,-1.44756428300401,-1.45722244461758,-1.45194498996391
"82",-0.741107301540484,-0.73254845921824,-0.737553625687313,-1.44577585599709,-1.45433469831933,-1.44932953185026
"83",-0.733018585236259,-0.725403179151782,-0.730140100240918,-1.44385571368967,-1.45147111977415,-1.44673419868501
"84",-0.725093515863946,-0.718221039483981,-0.72268306612387,-1.44177192445034,-1.44864440083031,-1.44418237419042
"85",-0.717246746409004,-0.7109905028991,-0.71516735422247,-1.43960983529364,-1.44586607880355,-1.44168922748018
"86",-0.709363610195403,-0.703700320714535,-0.707579849075156,-1.4374841128956,-1.44314740237647,-1.43926787401585
"87",-0.701329440547113,-0.696339244247682,-0.699907435220371,-1.43550942393225,-1.44049962023168,-1.43693142925899
"88",-0.693029570788102,-0.688896024815938,-0.692136997196553,-1.43380043507962,-1.43793398105178,-1.43469300867117
"89",-0.684404109098487,-0.681367944769957,-0.684268862606929,-1.4324170381576,-1.43545320248612,-1.43255228464915
"90",-0.675612263082965,-0.673786410593421,-0.676357131313857,-1.43120002556147,-1.43302587805102,-1.43045515733058
"91",-0.666868015202381,-0.666191359803272,-0.668469346244482,-1.42993541483042,-1.43061207022952,-1.42833408378831
"92",-0.65838534791758,-0.658622729916451,-0.660673050325949,-1.42840922350358,-1.4281718415047,-1.42612152109521
"93",-0.650321688707498,-0.651112390675405,-0.653019363790586,-1.42646402410202,-1.42567332213411,-1.42376634901893
"94",-0.642608245123438,-0.643659940724611,-0.645493716091468,-1.42416860907443,-1.42311691347326,-1.4212831381064
"95",-0.635119669734796,-0.636256910934055,-0.638065113986853,-1.42164832585143,-1.42051108465217,-1.41870288159938
"96",-0.627730615110967,-0.628894832173721,-0.630702564235002,-1.41902852186362,-1.41786430480087,-1.41605657273959
"97",-0.620315733821347,-0.621565235313593,-0.623375073594172,-1.4164345445416,-1.41518504304935,-1.41337520476877
"98",-0.612771526632003,-0.614256671114194,-0.616052100077549,-1.4139698931193,-1.41248474863711,-1.41068931967375
"99",-0.605081887095691,-0.606945769898196,-0.608704906718013,-1.41165067404397,-1.40978679124147,-1.40802765442165
"100",-0.59725255696184,-0.59960618187881,-0.601305207803374,-1.40947114556618,-1.40711752064921,-1.40541849472465
"101",-0.589289277979879,-0.592211557269249,-0.593824717621439,-1.4074255659365,-1.40450328664713,-1.40289012629494
"102",-0.581197791899236,-0.584735546282721,-0.586235150460014,-1.4055081934055,-1.40197043902201,-1.40047083484472
"103",-0.572995996742005,-0.577156311426691,-0.578515018908188,-1.40370112995109,-1.3995408152664,-1.39818210778491
"104",-0.564750415620937,-0.569470064385638,-0.570670028760162,-1.40193785246051,-1.39721820369581,-1.39601823932129
"105",-0.556539727921452,-0.561677529138294,-0.562712684111419,-1.40013968154836,-1.39500188033152,-1.39396672535839
"106",-0.548442613028965,-0.553779429663392,-0.554655489057443,-1.3982279378292,-1.39289112119478,-1.39201506180073
"107",-0.540537750328896,-0.545776489939664,-0.546510947693715,-1.39612394191763,-1.39088520230686,-1.39015074455281
"108",-0.532892942378231,-0.537675615794959,-0.538291886022929,-1.39375989125665,-1.38897721783993,-1.38836094761196
"109",-0.525532484420245,-0.529508440453593,-0.530012417676631,-1.391111490603,-1.38713553456965,-1.38663155734661
"110",-0.518469794869781,-0.521312778989,-0.521686978193578,-1.38816532154182,-1.3853223374226,-1.38494813821802
"111",-0.511718292141683,-0.513126446474614,-0.513330003112526,-1.38490796565827,-1.38349981132534,-1.38329625468743
"112",-0.505291394650796,-0.504987257983868,-0.504955927972232,-1.38132600453752,-1.38163014120445,-1.38166147121609
"113",-0.499163293459534,-0.496924532998267,-0.496579286277415,-1.37744524711714,-1.37968400757841,-1.38002925429926
"114",-0.493151270220597,-0.488933608631596,-0.488215003396644,-1.37344841174444,-1.37766607333344,-1.37838467856839
"115",-0.487033379234258,-0.481001326405713,-0.479878102664449,-1.36955744411913,-1.37558949694768,-1.37671272068894
"116",-0.480587674800788,-0.473114527842474,-0.471583607415362,-1.36599428994096,-1.37346743689927,-1.37499835732639
"117",-0.473592211220459,-0.465260054463738,-0.463346540983912,-1.36298089490965,-1.37131305166637,-1.3732265651462
"118",-0.465897132169411,-0.457422948250923,-0.455175184827677,-1.36066711534905,-1.36914129926754,-1.37138906269079
"119",-0.457640938827262,-0.449581053023706,-0.447050852896415,-1.35891445007956,-1.36697433588312,-1.36950453601041
"120",-0.449034221749499,-0.441710413061323,-0.438948117262933,-1.35751230854568,-1.36483611723386,-1.36759841303225
"121",-0.440287571491608,-0.433787072643014,-0.430841550000035,-1.35625010019193,-1.36275059904053,-1.3656961216835
"122",-0.431572660162559,-0.425792802746238,-0.422710300752095,-1.35495615290934,-1.36073601032566,-1.3638185123198
"123",-0.422905486085252,-0.417732281141346,-0.414551829449761,-1.353614468375,-1.35878767331891,-1.36196812501049
"124",-0.414263129136073,-0.409615912296909,-0.406368173595252,-1.35224796671254,-1.35689518355171,-1.36014292225336
"125",-0.405622669191404,-0.401454100681499,-0.398161370690784,-1.35087956804557,-1.35504813655547,-1.35834086654619
"126",-0.39696118612763,-0.393257250763689,-0.389933458238574,-1.3495321924977,-1.35323612786164,-1.35655992038676
"127",-0.388259685769832,-0.385036293268739,-0.381687355966511,-1.34822483424386,-1.35144822674495,-1.35479716404718
"128",-0.379514877737875,-0.376804263948662,-0.373429512505163,-1.34696078366417,-1.34967139745338,-1.35304614889688
"129",-0.370727397600323,-0.368574724812158,-0.365167258710768,-1.34573940519008,-1.34789207797825,-1.35129954407964
"130",-0.36189788092574,-0.360361237867931,-0.356907925439565,-1.34456006325302,-1.34609670631083,-1.3495500187392
"131",-0.353026963282687,-0.35217736512468,-0.348658843547792,-1.34342212228443,-1.34427172044244,-1.34779024201933
"132",-0.344124095023228,-0.344037116524861,-0.340430293566074,-1.34231613193225,-1.34240311043062,-1.3460099333894
"133",-0.335233985633431,-0.335956293745942,-0.332244354722573,-1.34119738271041,-1.34047507459789,-1.34418701362126
"134",-0.326410159382861,-0.327951146399147,-0.324126055919838,-1.34001235034933,-1.33847136333305,-1.34229645381236
"135",-0.317706140541088,-0.320037924095699,-0.316100426060418,-1.33870751057947,-1.33637572702485,-1.34031322506014
"136",-0.309175453377676,-0.312232876446819,-0.30819249404686,-1.33722933913123,-1.33417191606209,-1.33821229846205
"137",-0.300853537380758,-0.304543416159491,-0.300413719518177,-1.33554239651651,-1.33185251773778,-1.33598221437909
"138",-0.292703492912713,-0.296941608323742,-0.292721285059243,-1.33368358237291,-1.32944546696188,-1.33366579022638
"139",-0.284670335554486,-0.289390681125359,-0.285058803991396,-1.3317078811195,-1.32698753554863,-1.33131941268259
"140",-0.27669908088702,-0.28185386275013,-0.277369889635974,-1.32967027717532,-1.32451549531221,-1.32899946842637
"141",-0.268734744491261,-0.274294381383841,-0.269598155314315,-1.32762575495944,-1.32206611806686,-1.32676234413639
"142",-0.26072843078294,-0.266679842123051,-0.261699610602634,-1.32562321005612,-1.31967179871601,-1.32465203023643
"143",-0.252655599516947,-0.258995357707392,-0.253679850096657,-1.32368718271047,-1.31734742452003,-1.32266293213076
"144",-0.244497799282959,-0.251230417787268,-0.245556864646986,-1.32183612433282,-1.31510350582851,-1.32077705896879
"145",-0.236236578670653,-0.243374512013084,-0.237348645104223,-1.32008848633348,-1.31295055299105,-1.31897641989991
"146",-0.227853486269708,-0.235417130035244,-0.229073182318971,-1.31846272012278,-1.31089907635725,-1.31724302407352
"147",-0.219347319118451,-0.227353447703453,-0.220747444331455,-1.3169600286624,-1.3089539000774,-1.3155599034494
"148",-0.210785868049816,-0.21920138566463,-0.212384307940392,-1.31551262111939,-1.30709710350458,-1.31391418122882
"149",-0.202254172345387,-0.210984550764993,-0.203995627134121,-1.31403545821218,-1.30530507979257,-1.31229400342345
"150",-0.193837271286747,-0.202726549850765,-0.195593255900982,-1.31244350065918,-1.30355422209516,-1.31068751604494
"151",-0.18562020415548,-0.194450989768163,-0.187189048229314,-1.3106517091788,-1.30182092356612,-1.30908286510497
"152",-0.177654653775898,-0.186178730758012,-0.178794207206866,-1.30860840094674,-1.30008432396463,-1.30746884751577
"153",-0.169858877143222,-0.177919646639541,-0.170417332319025,-1.30639531896778,-1.29833454947146,-1.30583686379197
"154",-0.162117774795402,-0.169680864626585,-0.162066372150587,-1.30412756270395,-1.29656447287277,-1.30417896534877
"155",-0.154316247270387,-0.161469511932975,-0.153749275286347,-1.30192023161733,-1.29476696695474,-1.30248720360137
"156",-0.146365667793887,-0.153289631941353,-0.14546875801715,-1.29986195248219,-1.29293798833472,-1.30075886225892
"157",-0.138283300342662,-0.145132932709599,-0.137206607458039,-1.29793546132177,-1.29108582895483,-1.29901215420639
"158",-0.130112881581233,-0.136988038464401,-0.128939378430103,-1.29609702147156,-1.28922186458839,-1.29727052462269
"159",-0.12189814817412,-0.128843573432447,-0.120643625754433,-1.29430289626703,-1.2873574710087,-1.29555741868671
"160",-0.113682836785846,-0.120688161840423,-0.112295904252119,-1.29250934904366,-1.28550402398908,-1.29389628157739
"161",-0.10550108111163,-0.112510352621349,-0.103878133872955,-1.29068224610623,-1.28367297459651,-1.29230519334491
"162",-0.0973486029694784,-0.10429839353356,-0.095393695081554,-1.28882586563674,-1.28187607507266,-1.29078077352467
"163",-0.0892115212081001,-0.0960404570417226,-0.0868513334712309,-1.28695408878648,-1.28012515295286,-1.28931427652335
"164",-0.0810759546762011,-0.0877247156105021,-0.0782597946353016,-1.28508079670674,-1.27843203577244,-1.28789695674764
"165",-0.0729280222224879,-0.0793393417045642,-0.0696278241670817,-1.28321987054881,-1.27680855106673,-1.28652006860421
"166",-0.0647578800317613,-0.0708793016687598,-0.0609684729009789,-1.28138115412789,-1.27525973249089,-1.28517056125868
"167",-0.0565718336331956,-0.0623667373686763,-0.0523120126357663,-1.27955834191482,-1.27376343817934,-1.28381816291225
"168",-0.0483802258920591,-0.0538305845500858,-0.0436930204113089,-1.27774109104431,-1.27229073238628,-1.28242829652506
"169",-0.0401933996736202,-0.0452997789587602,-0.0351460732674716,-1.27591905865111,-1.27081267936597,-1.28096638505726
"170",-0.0320216978431468,-0.0368032563404713,-0.0267057482441189,-1.27408190186994,-1.26930034337262,-1.27939785146897
"171",-0.0238737445761097,-0.0283672251492733,-0.0183985965132794,-1.27222099652533,-1.26772751595217,-1.27769614458816
"172",-0.0157512892887869,-0.020006984672346,-0.0102190657756328,-1.27033459320102,-1.26607889781746,-1.27586681671417
"173",-0.00765436270765824,-0.0117351069051507,-0.00215357786402192,-1.2684226611705,-1.26434191697301,-1.27392344601414
"174",0.000417004440795577,-0.00356416384314966,0.00581144538870956,-1.26648516970731,-1.26250400142337,-1.27187961065523
"175",0.00846278143009465,0.00449327251819588,0.0136895821497189,-1.26452208808497,-1.26055257917307,-1.2697488888046
"176",0.0164855897067369,0.0124295723922033,0.0214937151528792,-1.26253603774997,-1.25848002043544,-1.26754416319611
"177",0.0244986594091308,0.0202568748273045,0.0292339453989274,-1.26054024884072,-1.2562984642589,-1.26527553483052
"178",0.0325178728486634,0.0279922610807111,0.0369196784553171,-1.25855060366861,-1.25402499190066,-1.26295240927527
"179",0.0405591123367219,0.0356528124096344,0.0445603198895018,-1.25658298454503,-1.25167668461794,-1.26058419209781
"180",0.0486382601846925,0.0432556100712853,0.0521652752689344,-1.25465327378136,-1.24927062366795,-1.2581802888656
"181",0.056759995183095,0.0508152669206537,0.0597436762166955,-1.25276615016812,-1.24682142190568,-1.25574983120172
"182",0.06488418203898,0.0583365222038434,0.067303558578374,-1.25088147841236,-1.24433381857723,-1.25330085495176
"183",0.0729594819385298,0.0658216467647358,0.0748526842551851,-1.24894791970027,-1.24181008452648,-1.25084112201693
"184",0.0809345560679278,0.0732729114472132,0.0823988151483446,-1.24691413521803,-1.23925249059731,-1.24837839429844
"185",0.0887664222050129,0.0806929827420586,0.0899482655967569,-1.24473714274347,-1.23666370328052,-1.24591898613521
"186",0.0964455244942463,0.0880861097276583,0.0975015596900795,-1.24240738642106,-1.23404797165447,-1.24346342161689
"187",0.103970663671746,0.0954569371293,0.105057773955659,-1.23992366698692,-1.23140994044447,-1.24101077727083
"188",0.111340640473629,0.102810109672271,0.112615984920843,-1.23728478517716,-1.2287542543758,-1.23856012962437
"189",0.118554255636013,0.110150272081859,0.120175269112976,-1.2344895417279,-1.22608555817375,-1.23611055520487
"190",0.125629420684551,0.117483362918749,0.127735718384944,-1.2315558481648,-1.223409790399,-1.23366214586519
"191",0.132660490303045,0.124820496085215,0.135301485891775,-1.22857805917165,-1.22073806495382,-1.23121905476038
"192",0.139760929964829,0.132174079318927,0.142877740114039,-1.22566964022179,-1.21808278957589,-1.228786450371
"193",0.147044205143239,0.139556520357558,0.150469649532302,-1.22294405678856,-1.21545637200288,-1.22636950117762
"194",0.154623781311612,0.146980226938779,0.158082382627133,-1.22051477434529,-1.21287121997246,-1.22397337566081
"195",0.162562375290731,0.154452542840952,0.165717994835341,-1.21844450971277,-1.21033467726299,-1.22160012925738
"196",0.17071970929117,0.161960556005203,0.173366089418708,-1.21659298510157,-1.2078338318156,-1.2192393652291
"197",0.178904756870947,0.169486290413347,0.181013156595255,-1.2147691740697,-1.2053507076121,-1.21687757379401
"198",0.186926491588085,0.177011770047201,0.188645686583006,-1.2127820501752,-1.20286732863431,-1.21450124517012
"199",0.194593887000602,0.184519018888582,0.196250169599985,-1.21044058697607,-1.20036571886405,-1.21209686957546
"200",0.201779746735242,0.191994215695567,0.203815324218391,-1.20761758809907,-1.1978320570594,-1.20965316558222
"201",0.208612194693637,0.199440158331276,0.211338782427142,-1.20444117744582,-1.19526914108346,-1.20716776517933
"202",0.215283184846143,0.20686379943509,0.218820404569331,-1.20110330898669,-1.19268392357564,-1.20464052870988
"203",0.221984671163116,0.214272091646391,0.226260050988053,-1.19779593669202,-1.19008335717529,-1.20207131651696
"204",0.228908607614911,0.22167198760456,0.233657582026402,-1.19471101453217,-1.18747439452182,-1.19945998894366
"205",0.236193928877465,0.229068288073468,0.241013966405531,-1.19198747718308,-1.18486183637909,-1.19680751471115
"206",0.243767492449047,0.236457186314951,0.248334606358818,-1.18955218214302,-1.18224187600893,-1.1941192960528
"207",0.25150313653351,0.243832723715337,0.255626012497703,-1.18727896761585,-1.17960855479767,-1.19140184358004
"208",0.259274699334704,0.251188941660951,0.262894695433622,-1.1850416718054,-1.17695591413164,-1.18866166790432
"209",0.266956019056482,0.258519881538119,0.270147165778015,-1.18271413291553,-1.17427799539717,-1.18590527963707
"210",0.274455097534762,0.265821091115077,0.27739176180165,-1.18020435278217,-1.17157034636249,-1.18314101704906
"211",0.281816591133741,0.273094143687698,0.28464413241263,-1.17755698776951,-1.16883454032347,-1.1803845290484
"212",0.289119319849681,0.280342118933762,0.291921754178387,-1.17485085787381,-1.16607365695789,-1.17765329220251
"213",0.296442103678847,0.287568096531054,0.299242103666355,-1.17216478309133,-1.16329077594354,-1.17496478307884
"214",0.303848683925917,0.294776159322568,0.306617497023124,-1.16956250472676,-1.16048998012341,-1.17233131782397
"215",0.311342487129227,0.301974402812161,0.314039608711906,-1.16704744931843,-1.15767936500136,-1.16974457090111
