"","V1","V2","V3","V4","V5","V6"
"result.1",0.9075,0.9025,0.9165,0.0035,0.009,0.004
"result.2",0.893,0.8845,0.907,0.002,0.0065,0.004
"result.3",0.895,0.903,0.914,0.0045,0.011,0.0035
"result.4",0.9,0.899,0.9125,0.003,0.012,0.0065
"result.5",0.8965,0.8985,0.909,0.002,0.007,0.0045
"result.6",0.8895,0.892,0.909,0.0025,0.004,0.003
"result.7",0.901,0.904,0.9205,0.0015,0.009,0.003
"result.8",0.918,0.9175,0.9305,0.004,0.012,0.0045
"result.9",0.902,0.8945,0.914,0.0055,0.012,0.007
"result.10",0.905,0.9015,0.917,0.0045,0.01,0.005
"result.11",0.898,0.895,0.909,0.0035,0.008,0.005
"result.12",0.9105,0.911,0.925,0.002,0.0085,0.0055
"result.13",0.901,0.9,0.9145,0.002,0.005,0.003
"result.14",0.9025,0.898,0.9125,0.0035,0.015,0.0075
"result.15",0.897,0.892,0.9105,0.002,0.0065,0.0035
"result.16",0.8975,0.888,0.9045,0.005,0.0115,0.0075
"result.17",0.8925,0.8835,0.911,0.0035,0.0075,0.006
"result.18",0.9075,0.9045,0.921,0.001,0.005,0.003
"result.19",0.9005,0.9165,0.929,0.002,0.006,0.0045
"result.20",0.9125,0.9025,0.918,0.002,0.0095,0.006
"result.21",0.9015,0.899,0.91,0.0045,0.014,0.0085
"result.22",0.9015,0.897,0.9085,0.001,0.008,0.004
"result.23",0.903,0.9085,0.9165,0.006,0.0125,0.007
"result.24",0.8905,0.8805,0.896,0.0065,0.013,0.008
"result.25",0.91,0.9135,0.9235,0.0055,0.0125,0.006
"result.26",0.92,0.923,0.938,0.0045,0.012,0.005
"result.27",0.9025,0.8885,0.911,0.005,0.01,0.0055
"result.28",0.911,0.91,0.9275,0.0045,0.014,0.008
"result.29",0.906,0.9045,0.9285,0.005,0.0135,0.008
"result.30",0.9065,0.899,0.913,0.004,0.0075,0.003
"result.31",0.893,0.8925,0.908,0.0065,0.013,0.007
"result.32",0.903,0.902,0.915,0.0035,0.0095,0.0045
"result.33",0.8885,0.8915,0.903,0.001,0.0055,0.001
"result.34",0.9025,0.9055,0.914,0.0055,0.0115,0.008
"result.35",0.9065,0.904,0.9195,0.006,0.0125,0.0095
"result.36",0.908,0.9095,0.926,0.0045,0.012,0.0085
"result.37",0.9025,0.9055,0.9185,0.004,0.009,0.0025
"result.38",0.894,0.8875,0.902,0.0035,0.0115,0.007
"result.39",0.902,0.9045,0.916,0.0055,0.0125,0.0065
"result.40",0.906,0.903,0.9165,0.006,0.01,0.0045
"result.41",0.899,0.8945,0.912,0.0045,0.01,0.006
"result.42",0.892,0.8935,0.9085,0.0025,0.0065,0.004
"result.43",0.909,0.917,0.9275,0.0035,0.008,0.0025
"result.44",0.894,0.903,0.911,0.004,0.008,0.004
"result.45",0.908,0.916,0.9285,0.0055,0.0155,0.0075
"result.46",0.9005,0.9025,0.916,0.005,0.014,0.0085
"result.47",0.9,0.896,0.909,0.005,0.009,0.0065
"result.48",0.902,0.906,0.9165,0.0025,0.006,0.0035
"result.49",0.9015,0.9055,0.9165,0.0035,0.0095,0.0075
"result.50",0.8915,0.888,0.904,0.004,0.006,0.003
