"","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP"
"1",-0.0380771670846452,1.60073138080158,0.430381596049324,-3.00407175970979,-4.64288030759602,-3.47253052284376
"2",-0.0325126033599118,1.53574325309456,0.375078829754468,-2.99949491133824,-4.56775076779272,-3.40708634445262
"3",-0.0284504071842091,1.46939927993544,0.32315128892448,-2.99341569541766,-4.4912653825373,-3.34501739152635
"4",-0.0278041708584843,1.40196610473257,0.275044136384898,-2.9839205196471,-4.41369079523815,-3.28676882689048
"5",-0.0324874866836843,1.33371037089431,0.231202534961255,-2.96909579172561,-4.33529364930361,-3.23278581337055
"6",-0.0438672878571699,1.26490069129979,0.191766102994319,-2.94757457845584,-4.2563425576128,-3.18320796930733
"7",-0.0611238711619596,1.19581355671114,0.155652280885766,-2.92017658305476,-4.17711401092787,-3.13695273510249
"8",-0.0828908742774842,1.12672742736128,0.121472964552507,-2.88826816784295,-4.09788646948172,-3.09263200667295
"9",-0.107801934883177,1.0579207634831,0.0878400499114464,-2.85321569514098,-4.01893839350726,-3.0488576799356
"10",-0.134490690658469,0.989672025309525,0.0533654328794961,-2.8163855272694,-3.94054824323739,-3.00424165080736
"11",-0.16176836322947,0.922107138713457,0.0171311383080414,-2.77896644260211,-3.86284194454504,-2.95786594413962
"12",-0.18915651000899,0.854741892127885,-0.019900293213605,-2.74143688372631,-3.78533528586318,-2.91069310052169
"13",-0.21635427235652,0.786939539625795,-0.0562961921616559,-2.70409770928249,-3.7073915212648,-2.86415578947735
"14",-0.243060791631548,0.718063335280186,-0.090623889012318,-2.66724977791118,-3.62837390482291,-2.8196866805304
"15",-0.268975209193565,0.647476533164047,-0.121450714241804,-2.63119394825287,-3.54764569061048,-2.77871844320463
"16",-0.29370630710629,0.574966556059708,-0.147766018513984,-2.59632143824386,-3.46499430140986,-2.74226172683617
"17",-0.316501430250385,0.502017501586817,-0.170247233243382,-2.56338490300348,-3.38190383484068,-2.70963910001048
"18",-0.336517564210741,0.430537636074368,-0.189993810032183,-2.53322735694684,-3.30028255723195,-2.6797511111254
"19",-0.352911694572253,0.362435225851339,-0.208105200482573,-2.50669181448904,-3.22203873491263,-2.65149830857872
"20",-0.364840806919811,0.299618537246723,-0.225680856196737,-2.4846212900452,-3.14908063421173,-2.62378124076827
"21",-0.37170720906145,0.243468843717591,-0.2434401524021,-2.46761347580727,-3.08278952858631,-2.59588053246662
"22",-0.373894497697763,0.193259447233388,-0.26058215882704,-2.45528477507467,-3.02243872000582,-2.5685971139454
"23",-0.372031591752482,0.147736656891637,-0.275925868825178,-2.44700626892367,-2.96677451756779,-2.54311199185097
"24",-0.36674741014934,0.105646781789874,-0.28829027575013,-2.44214903843052,-2.91454323036974,-2.52060617282973
"25",-0.358670871812072,0.0657361310256238,-0.296494372955516,-2.44008416467151,-2.8644911675092,-2.50226066352806
"26",-0.348484097391331,0.0270156047913444,-0.299773477354915,-2.44012952699596,-2.81562922917864,-2.48884014703238
"27",-0.337082014445462,-0.0104455323408116,-0.299028200101752,-2.44139019784555,-2.7680266799502,-2.47944401218925
"28",-0.32541275225973,-0.0463134247037663,-0.295575475909412,-2.44291804793499,-2.72201737549095,-2.47275532428531
"29",-0.3144244401194,-0.0802542166304386,-0.29073223949128,-2.44376494797903,-2.677935171468,-2.46745714860715
"30",-0.305065207309738,-0.111934052453748,-0.285815425560743,-2.44298276869241,-2.6361139235484,-2.4622325504414
"31",-0.297945531299731,-0.140877248556812,-0.281764004401124,-2.43996103260613,-2.59702931534905,-2.45614255950474
"32",-0.292325282293243,-0.166040809523532,-0.278005088575499,-2.43543986951633,-2.56172434228604,-2.44976006323408
