"","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP"
"1",-1.17218702326149,-1.21726449381716,-1.24360170052715,-1.82767872314792,-1.78260125259226,-1.75626404588227
"2",-1.17457720151641,-1.21240262639406,-1.23725786226828,-1.81529474620793,-1.77746932133028,-1.75261408545607
"3",-1.17634117320702,-1.20753064333961,-1.23086097274094,-1.80353697583225,-1.77234750569966,-1.74901717629833
"4",-1.17751941761643,-1.2026255759895,-1.22438856955816,-1.79236493273777,-1.7672587743647,-1.74549578079603
"5",-1.17815241402776,-1.19766445567943,-1.21781819033296,-1.78173813764136,-1.76222609598969,-1.74207236133617
"6",-1.17827178380093,-1.19262602275131,-1.21114042889711,-1.77162496918312,-1.75727073023274,-1.73875632408694
"7",-1.17787371660295,-1.18749585357181,-1.20439810395745,-1.76202923769602,-1.75240710072717,-1.73550485034153
"8",-1.17694554417764,-1.18226123351381,-1.19764709043958,-1.75296361143627,-1.7476479221001,-1.73226206517432
"9",-1.17547459826879,-1.17690944795017,-1.19094326326911,-1.74444075866004,-1.74300590897867,-1.72897209365972
"10",-1.17344821062021,-1.17142778225376,-1.18434249737163,-1.73647334762354,-1.73849377598999,-1.72557906087213
"11",-1.17085053078909,-1.16581056474103,-1.17788354694124,-1.7290772287696,-1.73411719481765,-1.72204421261744
"12",-1.16765297958604,-1.16008029550263,-1.17153668324607,-1.72228098128757,-1.72985366537099,-1.71839727762755
"13",-1.16382379563508,-1.15426651757277,-1.16525505682272,-1.71611636655346,-1.72567364461577,-1.71468510536582
"14",-1.1593312175602,-1.14839877398567,-1.15899181820782,-1.71061514594326,-1.72154758951779,-1.71095454529564
"15",-1.15414348398541,-1.14250660777556,-1.152700117938,-1.70580908083298,-1.71744595704284,-1.7072524468804
"16",-1.14825527304499,-1.13661153791911,-1.14634262714423,-1.70170349308833,-1.71334722821421,-1.70361613898909
"17",-1.14176702091435,-1.13070298716292,-1.13992009933497,-1.69819794653389,-1.70926198028533,-1.70004486811327
"18",-1.13480560327919,-1.12476235419602,-1.13344280861307,-1.69516556548398,-1.70520881456715,-1.6965283601501
"19",-1.1274978958252,-1.11877103770748,-1.12692102908135,-1.6924794742529,-1.70120633237062,-1.69305634099674
"20",-1.11997077423807,-1.11271043638634,-1.12036503484265,-1.69001279715496,-1.69727313500669,-1.68961853655038
"21",-1.1123461058334,-1.10656659158879,-1.11378147499427,-1.68764366687455,-1.69342318111916,-1.68620829771368
"22",-1.1047257244464,-1.10034411533959,-1.10716249861152,-1.68527024957648,-1.68965185868328,-1.68283347541135
