"","V1","V2","V3","V4","V5","V6"
"result.1",0.8915,0.891,0.8915,0,0,0
"result.2",0.9055,0.9035,0.908,0,0,0
"result.3",0.908,0.9025,0.906,0,5e-04,0
"result.4",0.8885,0.877,0.8825,0,0,0
"result.5",0.891,0.8945,0.895,5e-04,0,0
"result.6",0.908,0.9035,0.906,0,0,0
"result.7",0.9,0.8965,0.9025,0,0,0
"result.8",0.874,0.8745,0.878,0,0,0
"result.9",0.896,0.8895,0.892,0,0,0
"result.10",0.902,0.8985,0.9055,0,5e-04,0
"result.11",0.918,0.917,0.9215,0,0,0
"result.12",0.888,0.891,0.8985,0,0,0
"result.13",0.886,0.892,0.8935,5e-04,5e-04,5e-04
"result.14",0.904,0.9045,0.9065,0,0,0
"result.15",0.9,0.9025,0.9,0,0,0
"result.16",0.8875,0.884,0.888,0,0,0
"result.17",0.9015,0.9005,0.9045,5e-04,5e-04,0
"result.18",0.919,0.921,0.9235,0,0,0
"result.19",0.9085,0.916,0.924,0,0,0
"result.20",0.9035,0.899,0.9025,0,0,0
"result.21",0.899,0.9015,0.9005,0,0,0
"result.22",0.9045,0.907,0.907,0,5e-04,5e-04
"result.23",0.897,0.905,0.9045,0,0,0
"result.24",0.8765,0.878,0.878,0,0,0
"result.25",0.907,0.9045,0.904,0,0,0
"result.26",0.9005,0.8995,0.9025,5e-04,0,0
"result.27",0.9075,0.9015,0.9025,0,0,0
"result.28",0.892,0.8925,0.893,0,0,0
"result.29",0.9145,0.911,0.914,5e-04,0,0
"result.30",0.8965,0.893,0.8975,5e-04,0,0
"result.31",0.9005,0.897,0.905,5e-04,5e-04,5e-04
"result.32",0.9,0.903,0.9035,5e-04,0.001,0
"result.33",0.9,0.901,0.905,5e-04,5e-04,0
"result.34",0.9095,0.902,0.9065,0,0,0
"result.35",0.895,0.8955,0.8955,0,0,0
"result.36",0.9015,0.9055,0.908,0,0,0
"result.37",0.907,0.9035,0.9095,0,0,0
"result.38",0.8855,0.886,0.8895,0,0,0
"result.39",0.8945,0.891,0.8925,0,0,0
"result.40",0.8945,0.8975,0.9,0,0,0
"result.41",0.909,0.905,0.91,0,0,0
"result.42",0.897,0.893,0.892,0,0,0
"result.43",0.9035,0.903,0.9065,5e-04,5e-04,5e-04
"result.44",0.8915,0.89,0.888,5e-04,5e-04,0
"result.45",0.8895,0.885,0.8895,0,0.001,5e-04
"result.46",0.909,0.912,0.9145,0,0,0
"result.47",0.895,0.895,0.9015,0,0,0
"result.48",0.896,0.896,0.8995,0,0,0
"result.49",0.8955,0.891,0.8935,0,0,0
"result.50",0.896,0.896,0.9005,5e-04,0,0
