"","V1","V2","V3","V4","V5","V6"
"result.1",0.8985,0.903,0.9145,0,0,0
"result.2",0.91,0.909,0.9235,0.001,0.001,5e-04
"result.3",0.904,0.9095,0.923,0,5e-04,5e-04
"result.4",0.8965,0.898,0.908,0.001,0.0015,0.001
"result.5",0.893,0.8985,0.91,5e-04,5e-04,0
"result.6",0.892,0.901,0.916,0.001,5e-04,0
"result.7",0.8915,0.899,0.907,0,5e-04,0
"result.8",0.9145,0.9185,0.9255,0,0,0
"result.9",0.8975,0.8865,0.912,0.0015,0.0015,0
"result.10",0.9035,0.912,0.92,0.001,0.001,0
"result.11",0.894,0.8955,0.909,0.0015,0.001,5e-04
"result.12",0.9045,0.904,0.922,0.001,0.001,5e-04
"result.13",0.8925,0.897,0.915,0,0.001,5e-04
"result.14",0.888,0.8895,0.9055,0,0,5e-04
"result.15",0.8975,0.8955,0.917,0,5e-04,0
"result.16",0.9135,0.9115,0.926,5e-04,5e-04,0
"result.17",0.9015,0.91,0.9255,0.001,0.001,0
"result.18",0.8995,0.899,0.9105,0,0,0
"result.19",0.911,0.903,0.9195,0,0,0
"result.20",0.909,0.912,0.9275,0,5e-04,0
"result.21",0.902,0.9085,0.921,0,5e-04,0
"result.22",0.894,0.8985,0.9095,0,0,0
"result.23",0.8725,0.8735,0.892,0.002,0.002,0.001
"result.24",0.9135,0.914,0.926,0,0,0
"result.25",0.9,0.8935,0.9175,0,0,0
"result.26",0.89,0.8925,0.915,0,5e-04,0
"result.27",0.8995,0.897,0.9185,0,0,0
"result.28",0.8865,0.885,0.8975,0,0,0
"result.29",0.892,0.889,0.9075,0.001,0.001,0
"result.30",0.894,0.8925,0.908,0.001,5e-04,5e-04
"result.31",0.9,0.902,0.9125,0,0,0
"result.32",0.9115,0.9205,0.929,0,5e-04,0
"result.33",0.91,0.915,0.929,5e-04,5e-04,5e-04
"result.34",0.8985,0.898,0.916,0,0,0
"result.35",0.9165,0.9115,0.9305,0,0,0
"result.36",0.8845,0.8915,0.9085,5e-04,0,0
"result.37",0.8955,0.908,0.92,0,0,0
"result.38",0.896,0.9005,0.914,0,5e-04,0
"result.39",0.8955,0.896,0.91,0.001,0.001,5e-04
"result.40",0.8995,0.894,0.9075,5e-04,0.001,5e-04
"result.41",0.901,0.9015,0.915,0,5e-04,0
"result.42",0.91,0.907,0.923,0.001,5e-04,5e-04
"result.43",0.889,0.895,0.908,5e-04,0,0
"result.44",0.8945,0.8885,0.906,0,5e-04,0
"result.45",0.909,0.907,0.9185,0.0015,0.0015,0.0015
"result.46",0.8825,0.8895,0.9065,0,5e-04,0
"result.47",0.9045,0.908,0.922,5e-04,5e-04,5e-04
"result.48",0.897,0.898,0.91,0,5e-04,5e-04
"result.49",0.906,0.9005,0.9155,0,0,0
"result.50",0.9035,0.909,0.923,5e-04,0,0
"result.51",0.9045,0.901,0.9125,0,0,0
"result.52",0.899,0.8925,0.91,0,5e-04,0
"result.53",0.915,0.916,0.9325,0.001,5e-04,0
"result.54",0.9005,0.904,0.9185,0,0,0
"result.55",0.9135,0.929,0.937,5e-04,0,0
"result.56",0.9065,0.9035,0.9275,5e-04,5e-04,5e-04
"result.57",0.9005,0.8965,0.912,5e-04,5e-04,0
"result.58",0.9045,0.906,0.919,0.001,0.0015,0.001
"result.59",0.899,0.9045,0.913,0,5e-04,5e-04
"result.60",0.907,0.917,0.9245,0,0,0
"result.61",0.9075,0.9065,0.916,0,0,0
"result.62",0.9075,0.9,0.92,0,0,0
"result.63",0.8955,0.8895,0.908,0,0,0
"result.64",0.919,0.9195,0.9315,5e-04,0.0015,0.001
"result.65",0.89,0.894,0.9065,5e-04,5e-04,5e-04
"result.66",0.919,0.921,0.9355,0,0,0
"result.67",0.904,0.9005,0.9205,5e-04,0,0
"result.68",0.9015,0.905,0.914,0.001,0.001,0.001
"result.69",0.894,0.886,0.9005,0.001,0.001,5e-04
"result.70",0.9085,0.906,0.9235,0,5e-04,0
"result.71",0.9055,0.905,0.919,0,5e-04,0
"result.72",0.9165,0.915,0.925,5e-04,5e-04,0
"result.73",0.8985,0.893,0.9155,0,0,0
"result.74",0.8995,0.891,0.9085,0.001,0.002,0.001
"result.75",0.8855,0.891,0.911,0,0.001,5e-04
"result.76",0.9005,0.9,0.916,0.001,0.001,5e-04
"result.77",0.894,0.892,0.905,0,0.001,5e-04
"result.78",0.9025,0.907,0.919,0,5e-04,0
"result.79",0.908,0.9105,0.9195,5e-04,5e-04,0
"result.80",0.9075,0.907,0.9195,5e-04,0.001,5e-04
"result.81",0.9,0.9075,0.922,0,5e-04,0
"result.82",0.9105,0.9115,0.9275,0,5e-04,0
"result.83",0.9035,0.9095,0.9225,0,0,0
"result.84",0.9005,0.8985,0.911,5e-04,5e-04,0
"result.85",0.908,0.909,0.9205,0,0,0
"result.86",0.9005,0.9065,0.9205,0,0.001,5e-04
"result.87",0.896,0.9,0.917,0,5e-04,5e-04
"result.88",0.9035,0.9035,0.9175,5e-04,0,0
"result.89",0.888,0.8925,0.907,0,5e-04,0
"result.90",0.912,0.91,0.926,0.001,0,0
"result.91",0.904,0.8995,0.913,0.001,5e-04,5e-04
"result.92",0.889,0.894,0.907,0.002,0.002,0.0015
"result.93",0.9005,0.9035,0.916,0.0015,0.0015,0.001
"result.94",0.881,0.881,0.8935,0,5e-04,0
"result.95",0.8985,0.9065,0.9135,5e-04,5e-04,5e-04
"result.96",0.895,0.899,0.9105,0,5e-04,0
"result.97",0.904,0.8965,0.919,0,5e-04,0
"result.98",0.912,0.9045,0.9205,0,0,0
"result.99",0.9005,0.8965,0.918,0.001,0.0015,0.001
"result.100",0.899,0.898,0.918,0.001,5e-04,5e-04
