"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",0.8984,0.900121948621505,0.896637372203356,0.896716666666666,0.9004436992488,0.892959196604528,0.909216666666667,0.917737602845301,0.90071950520667,0.00143886928787371,0.00199461148989697,0.00181071235629262,0.00153459780446081,0.00253005956087357,0.00198074531290399,0.00130817134219352,0.00205304454945676,0.0019830158483461
"2",0.899733333333333,0.926714575449331,0.872874349262586,0.899816666666667,0.895994466081132,0.903587313902312,0.902816666666667,0.911542438117644,0.894113524087972,0.00121360423905083,0.00140710316676552,0.00210514276558276,0.00132558452371093,0.00193331739984159,0.00181318177383103,0.00143027272805866,0.00181720588389288,0.00199658675401302
"3",0.902716666666667,0.92131794059164,0.88428486748006,0.90275,0.881838897448552,0.923567672717235,0.914883333333333,0.913655644259612,0.916127623139312,0.00156482222069329,0.00186966723300734,0.00213705975758266,0.00145522246196006,0.00234263130101015,0.00165513527805445,0.00146740120060088,0.0018029747175554,0.0020238482015076
"4",0.900233333333333,0.915221256390408,0.885205254188798,0.900133333333333,0.871041548107403,0.929226074690296,0.925633333333333,0.918662431015714,0.932592115445594,0.00191060761433077,0.00211244360361281,0.00246573311707254,0.00195553052056424,0.00295620196812256,0.00178536322611466,0.00161493271155032,0.00232148231640174,0.00163216683396617
"5",0.896783333333333,0.911288796357569,0.882352519966285,0.897866666666667,0.870490606735296,0.924923421249915,0.924366666666666,0.918462854265738,0.930217687161083,0.00121831882784578,0.00141465389918576,0.00166896120013753,0.00166694250590945,0.00218065227420875,0.00196755787611445,0.00127146700802279,0.00167690365426088,0.00164825791111692
"6",0.898316666666667,0.908541394283833,0.888060568456903,0.898583333333333,0.863757655410658,0.933571740456242,0.93295,0.921788462159058,0.944125912440874,0.00171646578447461,0.00185998205770335,0.00232608905930664,0.00185526330091144,0.00257868540205369,0.00170047990525118,0.00160662242987701,0.00182012450508129,0.00198148736966018
"7",0.899983333333333,0.908022985410193,0.892015346355352,0.900083333333333,0.864143088229152,0.93577194765778,0.935516666666667,0.924845517297953,0.946117196471921,0.00171529350280536,0.00243897170571952,0.00188061925104052,0.00170985704405693,0.0028084550453323,0.00148725670210896,0.00157247943416797,0.0023166112848059,0.00143171251190213
"8",0.900866666666667,0.910137594915139,0.891499710532723,0.9023,0.870237265655919,0.934355865410913,0.94035,0.93254901411459,0.948109561437376,0.00216183369023025,0.00281797506213052,0.00207754108656975,0.00194841521218668,0.00310211656288011,0.0019341622786858,0.00163477827242718,0.00233365721428307,0.00160196832767772
"9",0.89945,0.907700353709076,0.891330740568168,0.899333333333333,0.866425769184109,0.932081843477315,0.939933333333333,0.931243482745575,0.948614905500398,0.00167920855741935,0.00174636203949698,0.00222896111701401,0.00164950938950151,0.0023719232553395,0.00189007861725426,0.0011521427646744,0.00159179364256212,0.00136541984492529
"10",0.899016666666667,0.908226847228742,0.889681162054281,0.898083333333334,0.867564553121196,0.928478969958216,0.940783333333333,0.932849742856853,0.948669511127758,0.0018547056235941,0.00190618804980814,0.00253862838654402,0.00219561780551459,0.0027657875454991,0.00230076571366996,0.00150166255245842,0.00177808812317934,0.00174608808166839
"11",0.898333333333333,0.905162272311847,0.89144526966455,0.89915,0.867918259105479,0.930819115956227,0.943266666666667,0.936370731160207,0.95027548243436,0.00113267391228494,0.00183599601502488,0.00152637295272208,0.00152114407941681,0.00261689843556816,0.0017221323813233,0.0010571957412178,0.00126316199485822,0.00139437835373169
