"","V1","V2","V3","V4","V5","V6"
"result.1",0.8955,0.8945,0.8875,0,0,0
"result.2",0.894,0.893,0.887,0,0,0
"result.3",0.9005,0.9005,0.895,0,0,0
"result.4",0.9085,0.9075,0.9025,0,0,0
"result.5",0.904,0.904,0.897,0,0,0
"result.6",0.897,0.905,0.8955,0,0,0
"result.7",0.876,0.8795,0.8715,0,0,0
"result.8",0.9035,0.9045,0.8945,0,0,0
"result.9",0.887,0.889,0.8795,0,0,0
"result.10",0.9065,0.9065,0.899,0,0,0
"result.11",0.8985,0.895,0.885,0,0,0
"result.12",0.888,0.8875,0.883,0,0,0
"result.13",0.906,0.905,0.8995,0,0,0
"result.14",0.9155,0.9135,0.9075,0,0,0
"result.15",0.89,0.89,0.881,0,0,0
"result.16",0.9155,0.918,0.9105,0,0,0
"result.17",0.8955,0.897,0.8905,0,0,0
"result.18",0.8975,0.8985,0.8905,0,0,0
"result.19",0.9,0.898,0.892,0,0,0
"result.20",0.9075,0.899,0.893,0,0,0
"result.21",0.905,0.9015,0.893,0,0,0
"result.22",0.9045,0.9075,0.9015,0,0,0
"result.23",0.9045,0.8955,0.8885,0,0,0
"result.24",0.901,0.8995,0.8965,0,0,0
"result.25",0.892,0.886,0.882,0,0,0
"result.26",0.908,0.9075,0.9025,0,0,0
"result.27",0.897,0.894,0.8855,0,0,0
"result.28",0.908,0.9035,0.8965,0,0,0
"result.29",0.9005,0.9,0.8965,0,0,0
"result.30",0.914,0.917,0.909,0,0,0
"result.31",0.904,0.9005,0.898,0,0,0
"result.32",0.8945,0.8945,0.888,0,0,0
"result.33",0.9055,0.907,0.898,0,0,0
"result.34",0.9005,0.9015,0.897,0,0,0
"result.35",0.89,0.894,0.888,0,0,0
"result.36",0.899,0.9,0.8955,0,0,0
"result.37",0.8995,0.8935,0.891,0,0,0
"result.38",0.89,0.8875,0.8755,0,0,0
"result.39",0.905,0.903,0.8985,0,0,0
"result.40",0.906,0.905,0.8975,0,0,0
"result.41",0.91,0.91,0.9005,0,0,0
"result.42",0.909,0.9065,0.901,0,0,0
"result.43",0.894,0.8905,0.8845,0,0,0
"result.44",0.894,0.8955,0.8845,0,0,0
"result.45",0.895,0.8935,0.887,0,0,0
"result.46",0.8925,0.893,0.885,0,0,0
"result.47",0.905,0.9055,0.898,0,0,0
"result.48",0.895,0.8925,0.885,0,0,0
"result.49",0.913,0.91,0.9075,0,0,0
"result.50",0.924,0.9225,0.9185,0,0,0
"result.51",0.8985,0.8995,0.892,0,0,0
"result.52",0.896,0.8975,0.889,0,0,0
"result.53",0.898,0.898,0.893,0,0,0
"result.54",0.896,0.9025,0.892,0,0,0
"result.55",0.914,0.913,0.907,0,0,0
"result.56",0.91,0.9065,0.9025,0,0,0
"result.57",0.893,0.8925,0.882,5e-04,0,0
"result.58",0.91,0.9075,0.9025,0,0,0
"result.59",0.908,0.911,0.904,0,0,0
"result.60",0.905,0.9025,0.898,0,0,0
"result.61",0.9035,0.898,0.891,0,0,0
"result.62",0.9085,0.9045,0.895,0,0,0
"result.63",0.8855,0.8875,0.883,0,0,0
"result.64",0.892,0.8975,0.885,0,0,0
"result.65",0.91,0.9085,0.9015,0,0,0
"result.66",0.8985,0.901,0.89,0,0,0
"result.67",0.9055,0.9035,0.895,0,0,0
"result.68",0.907,0.9095,0.9025,0,0,0
"result.69",0.912,0.9115,0.9055,0,0,0
"result.70",0.9005,0.899,0.89,0,0,0
"result.71",0.8875,0.886,0.8795,0,0,0
"result.72",0.889,0.8925,0.8835,0,0,0
"result.73",0.8905,0.891,0.8855,0,0,0
"result.74",0.895,0.894,0.883,0,0,0
"result.75",0.915,0.917,0.9105,0,0,0
"result.76",0.902,0.8995,0.8935,0,0,0
"result.77",0.893,0.891,0.883,0,0,0
"result.78",0.8895,0.8905,0.8825,0,0,0
"result.79",0.8975,0.892,0.89,0,0,0
"result.80",0.909,0.908,0.9005,0,0,0
"result.81",0.894,0.893,0.887,0,0,0
"result.82",0.917,0.918,0.914,0,0,0
"result.83",0.915,0.9185,0.91,0,0,0
"result.84",0.887,0.888,0.8825,0,0,0
"result.85",0.893,0.894,0.885,0,0,0
"result.86",0.902,0.8975,0.8955,0,0,0
"result.87",0.876,0.874,0.866,0,0,0
"result.88",0.8955,0.8935,0.888,0,0,0
"result.89",0.903,0.901,0.891,0,0,0
"result.90",0.909,0.9105,0.901,0,0,0
"result.91",0.908,0.9055,0.9015,0,0,0
"result.92",0.8905,0.8905,0.882,0,0,0
"result.93",0.8955,0.895,0.889,0,0,0
"result.94",0.9035,0.909,0.901,0,0,0
"result.95",0.9115,0.909,0.901,0,0,0
"result.96",0.891,0.89,0.8815,0,0,0
"result.97",0.8955,0.899,0.89,0,0,0
"result.98",0.899,0.8895,0.886,0,0,0
"result.99",0.8985,0.8975,0.8915,0,0,0
"result.100",0.899,0.9,0.893,0,0,0
