"","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP","score_threshold_RLCP","score_threshold_calLCP","score_threshold_baseLCP"
"1",-0.266737732103171,-0.236048097342835,-0.270713644609157,-2.71488230604285,-2.74557194080319,-2.71090639353687
"2",-0.264897246740966,-0.232063521821788,-0.266547334354253,-2.70675529400479,-2.73958901892397,-2.7051052063915
"3",-0.263100491541882,-0.228078155848044,-0.262368819247425,-2.6985845518036,-2.73360688749744,-2.69931622409806
"4",-0.261101950857283,-0.224079186540815,-0.258176625819263,-2.69061559508793,-2.7276383594044,-2.69354092012595
"5",-0.258656109038531,-0.220053801019312,-0.253969280600355,-2.68309393950641,-2.72169624752563,-2.68778076794459
"6",-0.255562170293523,-0.2159922853779,-0.249745994800042,-2.67622038085115,-2.71579026576677,-2.68203655634463
"7",-0.251798218256291,-0.211897321611543,-0.245508718342669,-2.67001683548811,-2.70991773213286,-2.67630633540173
"8",-0.247387056417401,-0.207774690690357,-0.241260085831335,-2.66446049992673,-2.70407286565378,-2.6705874705128
"9",-0.24235148826742,-0.203630173584457,-0.237002731869138,-2.65952857067644,-2.69824988535941,-2.66487732707472
"10",-0.236714317296913,-0.199469551263958,-0.232739291059177,-2.65519824424668,-2.69244301027963,-2.65917327048442
"11",-0.23053373462447,-0.195297286509619,-0.228471641612644,-2.65141132951885,-2.6866477776337,-2.65347342253068
"12",-0.224009481880768,-0.191112569344767,-0.224198636173116,-2.64796808486228,-2.68086499739828,-2.64777893056994
"13",-0.217376688324508,-0.186913271603373,-0.219918370992265,-2.64463338101827,-2.67509679773941,-2.64209169835052
"14",-0.210870483214389,-0.182697265119409,-0.215628942321764,-2.64117208872812,-2.6693453068231,-2.63641362962075
"15",-0.204725995809112,-0.178462421726845,-0.211328446413283,-2.63734907873313,-2.6636126528154,-2.63074662812896
"16",-0.199123112414942,-0.174208684108459,-0.207016919884176,-2.63298446472703,-2.65789889303351,-2.62509065725779
"17",-0.194020747528402,-0.169944278342252,-0.202702160814516,-2.6281193322133,-2.65219580139945,-2.61943791892718
"18",-0.189322572693582,-0.165679501355035,-0.198393907650058,-2.62285000964785,-2.64649308098639,-2.61377867469137
"19",-0.184932259454569,-0.161424650073617,-0.194101898836555,-2.61727282548659,-2.64078043486754,-2.6081031861046
"20",-0.180753479355453,-0.157190021424806,-0.189835872819762,-2.61148410818543,-2.63504756611608,-2.60240171472112
"21",-0.176705678046533,-0.152983994671325,-0.185602800038324,-2.60556441209408,-2.62928609546929,-2.59666729010229
"22",-0.172771397602953,-0.148807278419551,-0.181398578902444,-2.59953119513739,-2.6234953143208,-2.5909040138379
"23",-0.168948954206068,-0.14465866361177,-0.177216339815216,-2.59338614113401,-2.61767643172831,-2.58511875552486
"24",-0.165236664037236,-0.140536941190273,-0.173049213179734,-2.58713093390257,-2.61183065674953,-2.57931838476007
"25",-0.16163284327781,-0.136440902097349,-0.168890329399091,-2.58076725726172,-2.60595919844219,-2.57350977114044
"26",-0.158128970242194,-0.132367345836137,-0.164733676354063,-2.57430363289707,-2.60006525730313,-2.5676989267852
"27",-0.154689171776978,-0.12830510615318,-0.160576671836155,-2.56777593396202,-2.59415999958581,-2.56188843390284
"28",-0.1512707368618,-0.124241025355873,-0.156417591114552,-2.56122687147692,-2.58825658298285,-2.55608001722417
"29",-0.147830954476299,-0.120161945751608,-0.152254709458441,-2.55469915646215,-2.58236816518684,-2.55027540148001
"30",-0.144327113600112,-0.116054709647781,-0.148086302137009,-2.54823549993807,-2.5765079038904,-2.54447631140117
"31",-0.140735536201435,-0.111909274890784,-0.143910864001126,-2.54185957993648,-2.57068584124713,-2.53868425213678
"32",-0.137108676202694,-0.107728061483006,-0.139727768228401,-2.53551894253495,-2.56489955725463,-2.53289985050924
"33",-0.133518020514872,-0.103516604965834,-0.135536607578129,-2.5291421008225,-2.55914351637154,-2.52712351375924
"34",-0.130035056048953,-0.0992804408806543,-0.131336974809601,-2.52265756788815,-2.55341218305644,-2.5213556491275
"35",-0.126690797968227,-0.0950257527832375,-0.127129333654268,-2.5160343285686,-2.54769937375359,-2.51559579288256
"36",-0.123354374445207,-0.0907613162868778,-0.122917631732195,-2.50940325469135,-2.54199631284968,-2.50983999740436
"37",-0.119854441904711,-0.0864965550192524,-0.118706687635606,-2.50293568983158,-2.53629357671704,-2.50408344410068
"38",-0.116019656771558,-0.0822408926080376,-0.114501319956722,-2.49680297756446,-2.53058174172798,-2.49832131437929
"39",-0.111678675470568,-0.0780037526809105,-0.110306347287765,-2.49117646146518,-2.52485138425484,-2.49254878964798
"40",-0.106727915571686,-0.0737913168602377,-0.10612612341976,-2.48615972396379,-2.51909632267524,-2.48676151611572
"41",-0.101334839225368,-0.0695967987471478,-0.101963142938935,-2.48158530290984,-2.51332334338806,-2.48095699919627
"42",-0.0957346697271945,-0.0654101699374592,-0.0978194356303224,-2.47721797500774,-2.50754247479747,-2.47513320910461
"43",-0.0901626303727485,-0.0612214020269908,-0.0936970312789539,-2.47282251696191,-2.50176374530767,-2.46928811605571
"44",-0.0848539444576116,-0.0570204666115608,-0.0895979596698604,-2.46816370547678,-2.49599718332283,-2.46341969026453
"45",-0.0799915628700518,-0.0528002946499329,-0.0855218954410969,-2.46305858966407,-2.49024985788419,-2.45752825709303
"46",-0.0755493468690781,-0.0485656545526484,-0.08145909264281,-2.45753330826477,-2.4845170005812,-2.45162356249104
"47",-0.0714488853063863,-0.044324274093194,-0.0773974501781702,-2.45166627242719,-2.47879088364039,-2.44571770755541
"48",-0.0676117670336712,-0.0400838810450558,-0.0733248669503474,-2.44553589329964,-2.47306377928825,-2.43982279338296
"49",-0.0639595809026283,-0.0358522031817206,-0.0692292418625121,-2.43922058203041,-2.46732795975132,-2.43395092107053
"50",-0.0604083215042389,-0.0316368269842477,-0.0651025039239917,-2.43280434402853,-2.46157583854852,-2.42811016160878
"51",-0.0568516063866303,-0.0274447737639917,-0.0609527025687447,-2.42639356174587,-2.45580039436851,-2.42229246556375
"52",-0.053177458837216,-0.0232829235398796,-0.0567919173368866,-2.42010021189501,-2.44999474719235,-2.41648575339534
"53",-0.0492739021434092,-0.019158156330839,-0.0526322277685328,-2.41403627118855,-2.44415201700112,-2.41067794556342
"54",-0.0450289595926236,-0.0150773521557974,-0.0484857134037994,-2.40831371633906,-2.43826532377589,-2.40485696252789
"55",-0.0403750076603346,-0.0110431244082734,-0.0443607746873226,-2.40300017087108,-2.43233205412314,-2.39901440384409
"56",-0.0354218355742639,-0.00704101998014948,-0.0402510956818195,-2.39798584555688,-2.426366661151,-2.39315658544933
"57",-0.0303235857501951,-0.0030523191378988,-0.0361466813545276,-2.39311659798068,-2.42038786459298,-2.38729350237635
"58",-0.025234400603912,0.000941697852004954,-0.0320375366726849,-2.38823828572669,-2.41441438418261,-2.38143514965792
"59",-0.0203084225511985,0.00495975072308813,-0.0279136666035292,-2.38319676637914,-2.40846493965342,-2.3755915223268
"60",-0.0156555452899786,0.00901532288854736,-0.0237681530010186,-2.37788214624008,-2.40255301441861,-2.36976953852904
"61",-0.0112086676467373,0.0131009524802591,-0.0196063852659935,-2.37236152648305,-2.39667114661005,-2.3639638088638
"62",-0.00685643973010113,0.0172039413097691,-0.0154368296860152,-2.36674625699942,-2.39080663803929,-2.35816586704351
"63",-0.00248751164869531,0.0213115911886241,-0.0112679525486444,-2.36114768768056,-2.38494679051788,-2.35236724678061
"64",0.00197693642008887,0.0254137195277788,-0.00710692803006108,-2.35564463834907,-2.37908142145676,-2.34656077389892
"65",0.00648560402380092,0.0295102061358255,-0.00295576186091837,-2.35018580855251,-2.37321041066454,-2.34074444266779
"66",0.0109546606412246,0.0336034464207644,0.00118483233951133,-2.34468736776966,-2.3673361535492,-2.33491753946795
"67",0.0153002757511445,0.0376958357905967,0.00531414095195631,-2.33906548547931,-2.36146104551877,-2.32907935068012
"68",0.0194386188323442,0.0417897696533229,0.00943145035714415,-2.33323633116024,-2.35558748198122,-2.32322916268504
"69",0.0233169406359432,0.0458887186830161,0.0135369388962172,-2.32714715556357,-2.34971893361064,-2.31736715382384
"70",0.0270068170023995,0.0500004546180374,0.0176343527519728,-2.32086953452976,-2.34386317214539,-2.31149707027933
"71",0.0306109050445067,0.0541338244628204,0.021728330067623,-2.31450612517159,-2.33802904458991,-2.30562355019471
"72",0.0342318618750576,0.0582976752217982,0.0258235089863793,-2.30815958460187,-2.33222539794861,-2.2997512317132
"73",0.0379723446068457,0.0625008538994043,0.0299245276514533,-2.30193256993339,-2.32646107922595,-2.293884752978
"74",0.0419391961411872,0.0667483949613432,0.0340346364805945,-2.29593192406746,-2.32074112288762,-2.28802736440687
"75",0.04625600253349,0.0710300827184016,0.0381515349897005,-2.29028123305949,-2.31505531324441,-2.2821767655157
"76",0.0510505356276846,0.0753318889426374,0.0422715349692067,-2.28510826875342,-2.30938962206837,-2.27632926809494
