"","V1","V2","V3","V4","V5","V6"
"result.1",0.9065,0.9035,0.911,0,0,0
"result.2",0.894,0.8945,0.9025,0,0,0
"result.3",0.923,0.9195,0.9285,0,0,0
"result.4",0.9065,0.906,0.915,0,0,0
"result.5",0.9095,0.912,0.9155,0,0,0
"result.6",0.889,0.8875,0.899,0,0,0
"result.7",0.9,0.899,0.9055,0,0,0
"result.8",0.9145,0.915,0.9205,0,0,0
"result.9",0.9095,0.9125,0.919,0,0,0
"result.10",0.902,0.9045,0.909,0,0,0
"result.11",0.903,0.901,0.912,0,0,0
"result.12",0.8925,0.891,0.9015,0,0,0
"result.13",0.905,0.905,0.912,0,0,0
"result.14",0.9135,0.913,0.9185,0,0,0
"result.15",0.9005,0.9045,0.908,0,0,0
"result.16",0.9115,0.91,0.92,0,0,0
"result.17",0.903,0.9005,0.911,0,0,0
"result.18",0.898,0.899,0.904,0,0,0
"result.19",0.9015,0.9005,0.91,0,0,0
"result.20",0.8975,0.9005,0.9035,0,0,0
"result.21",0.8855,0.8835,0.896,0,0,0
"result.22",0.9095,0.9085,0.9155,0,0,0
"result.23",0.9,0.8945,0.9095,0,0,0
"result.24",0.9035,0.907,0.9145,0,0,0
"result.25",0.906,0.9075,0.917,0,0,0
"result.26",0.8955,0.899,0.905,0,0,0
"result.27",0.9045,0.9005,0.911,0,0,0
"result.28",0.899,0.8995,0.9055,0,0,0
"result.29",0.8855,0.887,0.8945,0,0,0
"result.30",0.913,0.9125,0.9225,0,0,0
"result.31",0.9095,0.906,0.9155,0,0,0
"result.32",0.9005,0.901,0.9105,0,0,0
"result.33",0.892,0.8945,0.904,0,0,0
"result.34",0.9045,0.9015,0.914,0,0,0
"result.35",0.91,0.9075,0.9145,0,0,0
"result.36",0.8915,0.8935,0.903,0,0,0
"result.37",0.9185,0.919,0.9265,0,0,0
"result.38",0.8985,0.897,0.9045,0,0,0
"result.39",0.895,0.897,0.904,0,0,0
"result.40",0.8945,0.8945,0.9025,0,0,0
"result.41",0.9065,0.9075,0.92,0,0,0
"result.42",0.895,0.896,0.9055,0,0,0
"result.43",0.907,0.9095,0.917,0,0,0
"result.44",0.912,0.9125,0.9175,0,0,0
"result.45",0.902,0.901,0.9075,0,0,0
"result.46",0.894,0.891,0.901,0,0,0
"result.47",0.9025,0.8995,0.9105,0,0,0
"result.48",0.9175,0.9145,0.9225,0,0,0
"result.49",0.8955,0.8975,0.903,0,0,0
"result.50",0.8925,0.8905,0.9025,0,0,0
