"","V1","V2","V3","V4","V5","V6"
"result.1",0.903,0.902,0.916,0,0.001,5e-04
"result.2",0.911,0.906,0.932,0.001,0.001,0.001
"result.3",0.9045,0.908,0.9265,0.001,0.002,0.0015
"result.4",0.8965,0.8875,0.9115,0.002,0.0025,0.002
"result.5",0.8915,0.883,0.908,5e-04,0,0
"result.6",0.899,0.8845,0.9095,5e-04,0.0025,0.001
"result.7",0.883,0.884,0.902,0.001,0.001,5e-04
"result.8",0.875,0.8735,0.8955,0.001,5e-04,5e-04
"result.9",0.889,0.887,0.9045,0.001,0.0015,0
"result.10",0.9005,0.898,0.9215,0,5e-04,5e-04
"result.11",0.902,0.905,0.914,0,0,0
"result.12",0.8955,0.8955,0.9125,0.001,0.0015,0.001
"result.13",0.9025,0.9055,0.927,0.0015,0.001,0.001
"result.14",0.911,0.9065,0.9325,0.001,0.002,5e-04
"result.15",0.9015,0.903,0.92,0,5e-04,0
"result.16",0.903,0.906,0.929,5e-04,5e-04,0
"result.17",0.9135,0.9125,0.9315,5e-04,0.0025,0.001
"result.18",0.8845,0.8965,0.913,0,5e-04,0
"result.19",0.9075,0.911,0.9295,0,5e-04,0
"result.20",0.897,0.8955,0.913,0.002,0.002,0
"result.21",0.896,0.895,0.9145,0,0,0
"result.22",0.9085,0.9215,0.935,5e-04,0.001,5e-04
"result.23",0.908,0.908,0.928,0.001,5e-04,5e-04
"result.24",0.891,0.8805,0.9055,0.001,5e-04,0
"result.25",0.9035,0.897,0.915,5e-04,0.002,0.001
"result.26",0.887,0.892,0.916,0.001,5e-04,5e-04
"result.27",0.908,0.9025,0.919,0,0,0
"result.28",0.8905,0.9,0.9125,0.0025,0.0035,0.0015
"result.29",0.8955,0.9045,0.9175,0,5e-04,0
"result.30",0.8915,0.893,0.911,5e-04,0.001,0.001
"result.31",0.9005,0.9065,0.93,5e-04,0.001,0.001
"result.32",0.89,0.897,0.915,5e-04,0.0015,0.001
"result.33",0.894,0.895,0.9155,0,0,0
"result.34",0.909,0.907,0.9265,5e-04,0.001,0.001
"result.35",0.892,0.8855,0.9115,5e-04,0.001,0.001
"result.36",0.9015,0.8955,0.9185,0.0015,0.001,0
"result.37",0.9135,0.91,0.926,5e-04,0.001,0.001
"result.38",0.9025,0.911,0.9305,5e-04,5e-04,5e-04
"result.39",0.9045,0.9055,0.923,0.0015,0.0015,0.001
"result.40",0.9055,0.904,0.9165,5e-04,0.001,0
"result.41",0.893,0.8955,0.9095,0.001,0.002,0.0015
"result.42",0.901,0.906,0.9225,5e-04,0.0015,0.001
"result.43",0.904,0.9105,0.9245,0.001,0,0
"result.44",0.9025,0.899,0.92,5e-04,0.001,5e-04
"result.45",0.908,0.9025,0.93,0.0015,0.0025,0.001
"result.46",0.8905,0.8895,0.913,5e-04,5e-04,5e-04
"result.47",0.8955,0.8965,0.917,5e-04,5e-04,5e-04
"result.48",0.9015,0.9015,0.9175,0.002,0.0015,0.001
"result.49",0.908,0.9015,0.919,5e-04,0.002,0.001
"result.50",0.8965,0.892,0.912,0,0.001,0.001
