"","V1","V2","V3","V4","V5","V6"
"result.1",0.906,0.9035,0.909,0.0025,0.0065,0.003
"result.2",0.908,0.91,0.9115,0.003,0.0085,0.0045
"result.3",0.893,0.8985,0.906,0.0025,0.005,0.0025
"result.4",0.9065,0.909,0.912,0.002,0.004,0.001
"result.5",0.906,0.9035,0.9085,0.001,0.004,0.002
"result.6",0.92,0.9195,0.9235,0.0025,0.0045,0.002
"result.7",0.9045,0.903,0.91,0.003,0.0105,0.0045
"result.8",0.8865,0.89,0.891,0.002,0.0045,0.002
"result.9",0.9035,0.9035,0.907,0.002,0.0035,0.0015
"result.10",0.9045,0.902,0.909,0.0045,0.0095,0.0065
"result.11",0.8895,0.8945,0.8985,0.002,0.004,0.002
"result.12",0.914,0.915,0.915,0.0025,0.0075,0.0035
"result.13",0.899,0.8985,0.9035,0.0045,0.009,0.005
"result.14",0.8915,0.8915,0.895,0.0025,0.006,0.0045
"result.15",0.9035,0.903,0.905,5e-04,0.0035,0.0015
"result.16",0.889,0.889,0.8965,0.002,0.0055,0.002
"result.17",0.9035,0.9085,0.913,5e-04,0.0025,0.0015
"result.18",0.9095,0.911,0.9145,0.005,0.0085,0.0035
"result.19",0.8915,0.8955,0.898,0.001,0.002,0.0015
"result.20",0.9095,0.9125,0.9165,0.0015,0.004,0.0025
"result.21",0.9095,0.9175,0.921,0.0015,0.006,0.004
"result.22",0.881,0.881,0.889,0.003,0.006,0.003
"result.23",0.905,0.909,0.915,0.0025,0.0045,0.004
"result.24",0.9015,0.904,0.9095,0.002,0.004,0.0015
"result.25",0.8985,0.8925,0.9,0.001,0.003,0.001
"result.26",0.914,0.921,0.9235,0.0045,0.0055,0.003
"result.27",0.9145,0.9155,0.919,0.001,0.0025,5e-04
"result.28",0.8875,0.8895,0.8925,0.004,0.0085,0.004
"result.29",0.902,0.9045,0.907,0.001,0.0035,0.0025
"result.30",0.8955,0.8975,0.9015,0.0015,0.0035,0.0025
"result.31",0.904,0.901,0.9035,0.003,0.009,0.006
"result.32",0.899,0.9015,0.9025,0.002,0.003,0.0015
"result.33",0.9025,0.8985,0.906,0.0025,0.0035,0.0015
"result.34",0.9135,0.915,0.917,0.0015,0.007,0.004
"result.35",0.911,0.9035,0.91,0.0015,0.004,0.0025
"result.36",0.8975,0.898,0.903,0.0045,0.0085,0.0045
"result.37",0.8995,0.899,0.9045,0.004,0.0075,0.005
"result.38",0.882,0.8785,0.8835,0.0035,0.007,0.0035
"result.39",0.912,0.9145,0.9165,0.001,0.003,0.002
"result.40",0.9125,0.9185,0.9235,0.0015,0.0025,5e-04
"result.41",0.8995,0.898,0.9015,0.002,0.006,0.005
"result.42",0.9045,0.9045,0.912,0.0035,0.006,0.003
"result.43",0.8975,0.898,0.899,5e-04,0.003,0.001
"result.44",0.9,0.8975,0.899,0.0035,0.0055,0.003
"result.45",0.907,0.908,0.9095,0.001,0.003,0.0015
"result.46",0.9115,0.91,0.9145,0.0015,0.0045,0.0015
"result.47",0.9195,0.922,0.926,5e-04,5e-04,5e-04
"result.48",0.906,0.915,0.917,0.0025,0.0065,0.002
"result.49",0.89,0.8945,0.898,0.002,0.0045,0.001
"result.50",0.9085,0.9055,0.9185,0.0025,0.0075,0.004
