"","V1","V2","V3","V4","V5","V6"
"result.1",0.905,0.9035,0.906,0.002,0.014,0.0065
"result.2",0.9015,0.895,0.899,0.0025,0.0135,0.005
"result.3",0.908,0.908,0.907,0.0045,0.0125,0.005
"result.4",0.905,0.9105,0.9125,5e-04,0.006,0.0015
"result.5",0.901,0.901,0.902,0.0055,0.014,0.0055
"result.6",0.889,0.8865,0.8905,0.0035,0.0095,0.005
"result.7",0.8895,0.888,0.8895,0.0055,0.0125,0.0095
"result.8",0.9005,0.901,0.903,0.005,0.0075,0.005
"result.9",0.902,0.9035,0.905,0.004,0.0115,0.0045
"result.10",0.8985,0.9025,0.9045,0.005,0.0105,0.005
"result.11",0.9015,0.9,0.901,0.0075,0.0165,0.011
"result.12",0.904,0.9055,0.907,0.005,0.014,0.005
"result.13",0.907,0.911,0.913,0.006,0.0115,0.006
"result.14",0.884,0.886,0.892,0.007,0.0215,0.011
"result.15",0.886,0.8845,0.89,0.0045,0.0075,0.0055
"result.16",0.904,0.907,0.9105,0.003,0.0125,0.005
"result.17",0.875,0.876,0.8775,0.004,0.013,0.0045
"result.18",0.8745,0.8745,0.8765,0.007,0.0135,0.007
"result.19",0.9095,0.9105,0.914,0.0065,0.017,0.011
"result.20",0.9045,0.903,0.907,0.0055,0.0115,0.0035
"result.21",0.905,0.903,0.903,0.0065,0.017,0.01
"result.22",0.912,0.907,0.9075,0.0045,0.0155,0.007
"result.23",0.9025,0.906,0.9045,0.002,0.01,0.0035
"result.24",0.9035,0.9005,0.9025,0.0055,0.0165,0.007
"result.25",0.916,0.9165,0.9175,0.001,0.006,0.003
"result.26",0.895,0.9025,0.905,0.0025,0.01,0.004
"result.27",0.9035,0.9025,0.905,0.0055,0.008,0.0055
"result.28",0.9055,0.9055,0.907,0.005,0.0145,0.0055
"result.29",0.893,0.8965,0.8995,0.005,0.0105,0.0055
"result.30",0.904,0.907,0.908,0.0065,0.0255,0.0095
"result.31",0.9145,0.916,0.9165,0.004,0.015,0.006
"result.32",0.9175,0.921,0.9235,0.004,0.008,0.005
"result.33",0.9105,0.9155,0.9165,0.004,0.012,0.0035
"result.34",0.9095,0.9115,0.9135,0.003,0.008,0.0035
"result.35",0.9185,0.9205,0.9255,0.003,0.011,0.0055
"result.36",0.8915,0.887,0.893,0.003,0.0085,0.0035
"result.37",0.908,0.9055,0.9105,0.004,0.0085,0.0045
"result.38",0.9075,0.9025,0.912,0.0025,0.008,0.0025
"result.39",0.908,0.909,0.911,0.0045,0.013,0.007
"result.40",0.881,0.878,0.8835,0.004,0.0085,0.0065
"result.41",0.889,0.8925,0.893,0.008,0.013,0.007
"result.42",0.892,0.8935,0.892,0.0045,0.013,0.008
"result.43",0.896,0.902,0.904,0.004,0.0165,0.009
"result.44",0.914,0.9105,0.913,0.0055,0.011,0.0055
"result.45",0.9035,0.9045,0.905,0.005,0.0145,0.006
"result.46",0.9065,0.903,0.9065,0.0025,0.009,0.004
"result.47",0.878,0.8795,0.8845,0.0025,0.0145,0.0045
"result.48",0.9195,0.9185,0.922,0.0065,0.016,0.009
"result.49",0.9175,0.924,0.9235,0.005,0.016,0.007
"result.50",0.8975,0.897,0.897,0.0045,0.015,0.0055
