"","V1","V2","V3","V4","V5","V6"
"result.1",0.885,0.884,0.879,0,0,0
"result.2",0.8985,0.898,0.8925,0,0,0
"result.3",0.8965,0.895,0.8905,0,0,0
"result.4",0.898,0.897,0.8905,0,0,0
"result.5",0.9065,0.9095,0.9035,0,0,0
"result.6",0.8945,0.8975,0.889,0,0,0
"result.7",0.8915,0.8905,0.8835,0,0,0
"result.8",0.9085,0.907,0.9025,0,0,0
"result.9",0.896,0.9005,0.8955,0,0,0
"result.10",0.89,0.8895,0.883,0,0,0
"result.11",0.9005,0.9005,0.8935,0,0,0
"result.12",0.9035,0.9055,0.8985,0,0,0
"result.13",0.907,0.9095,0.9025,0,0,0
"result.14",0.8985,0.8985,0.8905,0,0,0
"result.15",0.904,0.8995,0.893,0,0,0
"result.16",0.8975,0.905,0.895,0,0,0
"result.17",0.9075,0.9085,0.8985,0,0,0
"result.18",0.8915,0.8905,0.8875,0,0,0
"result.19",0.901,0.9005,0.895,0,0,0
"result.20",0.9015,0.8955,0.8905,0,0,0
"result.21",0.921,0.9175,0.915,0,0,0
"result.22",0.909,0.911,0.901,0,0,0
"result.23",0.9025,0.904,0.8965,0,0,0
"result.24",0.8945,0.899,0.8905,0,0,0
"result.25",0.912,0.9105,0.902,0,0,0
"result.26",0.8855,0.8885,0.8805,0,0,0
"result.27",0.907,0.905,0.898,0,0,0
"result.28",0.9075,0.9055,0.8985,0,0,0
"result.29",0.8955,0.9005,0.89,0,0,0
"result.30",0.9155,0.915,0.9105,0,0,0
"result.31",0.896,0.898,0.8915,0,0,0
"result.32",0.8935,0.8925,0.884,0,0,0
"result.33",0.89,0.894,0.8815,0,0,0
"result.34",0.892,0.8905,0.8825,0,0,0
"result.35",0.8885,0.884,0.875,0,0,0
"result.36",0.9105,0.913,0.907,0,0,0
"result.37",0.888,0.8915,0.8845,0,0,0
"result.38",0.897,0.896,0.885,0,0,0
"result.39",0.902,0.9045,0.8975,0,0,0
"result.40",0.893,0.896,0.887,0,0,0
"result.41",0.9005,0.8975,0.8935,0,0,0
"result.42",0.8925,0.8885,0.8805,0,0,0
"result.43",0.899,0.901,0.893,0,0,0
"result.44",0.8895,0.889,0.8845,0,0,0
"result.45",0.9035,0.8995,0.8955,0,0,0
"result.46",0.9035,0.9,0.895,0,0,0
"result.47",0.9015,0.9015,0.894,0,0,0
"result.48",0.8895,0.886,0.8795,0,0,0
"result.49",0.8975,0.897,0.891,0,0,0
"result.50",0.9,0.902,0.894,0,0,0
