"","V1","V2","V3","V4","V5","V6"
"result.1",0.8895,0.8925,0.912,0.0035,0.006,0.005
"result.2",0.9035,0.8985,0.92,0.0035,0.006,0.003
"result.3",0.9045,0.903,0.9225,0.0015,0.003,0.003
"result.4",0.89,0.896,0.915,0.002,0.003,0.001
"result.5",0.905,0.8955,0.922,5e-04,0.002,0.001
"result.6",0.882,0.893,0.917,0.002,0.001,0.001
"result.7",0.8985,0.891,0.909,0.0025,0.006,0.004
"result.8",0.8995,0.9085,0.9195,0.001,0.0015,5e-04
"result.9",0.904,0.8955,0.9175,0.002,0.004,0.004
"result.10",0.8805,0.8805,0.901,0.001,0.0025,5e-04
"result.11",0.8955,0.8835,0.9115,0.002,0.004,0.002
"result.12",0.9035,0.909,0.9245,0.001,0.0015,0.0015
"result.13",0.9,0.9,0.9175,0.003,0.007,0.004
"result.14",0.9015,0.9075,0.9215,0.002,0.0045,0.002
"result.15",0.8985,0.902,0.923,0.002,0.003,0.0015
"result.16",0.8955,0.885,0.9085,0.0015,0.003,0.0025
"result.17",0.912,0.9075,0.923,0.002,0.0055,0.0045
"result.18",0.901,0.904,0.9175,0.0015,0.0025,5e-04
"result.19",0.914,0.9095,0.931,0.0025,0.0045,0.002
"result.20",0.8965,0.895,0.908,0.0035,0.005,0.0025
"result.21",0.885,0.8885,0.907,0.002,0.0045,0.004
"result.22",0.88,0.8845,0.9075,0.001,0.002,0.0015
"result.23",0.909,0.906,0.925,0.003,0.0065,0.0045
"result.24",0.9005,0.903,0.92,0.002,0.002,5e-04
"result.25",0.9095,0.912,0.9295,0.001,0.0025,0.002
"result.26",0.901,0.9095,0.9225,0.002,0.004,0.0025
"result.27",0.9015,0.8925,0.918,0.001,0.0025,5e-04
"result.28",0.9085,0.919,0.929,0.002,0.0025,0.002
"result.29",0.8845,0.8765,0.902,0.003,0.0095,0.004
"result.30",0.905,0.908,0.928,0.0025,0.005,0.003
"result.31",0.883,0.88,0.907,0.001,0.0045,0.0035
"result.32",0.9145,0.924,0.9375,0.0015,0.0015,0.0015
"result.33",0.9035,0.915,0.922,0.002,0.006,0.002
"result.34",0.8885,0.8855,0.904,0.0025,0.005,0.002
"result.35",0.8905,0.894,0.9085,0.001,0.002,0.0015
"result.36",0.8955,0.905,0.919,0.001,0.0025,0.002
"result.37",0.9,0.896,0.914,5e-04,0.002,0.001
"result.38",0.9005,0.897,0.919,0.001,0.0035,0.0015
"result.39",0.899,0.9085,0.9185,0.002,0.005,0.004
"result.40",0.901,0.8975,0.92,0.0015,0.0035,0.002
"result.41",0.9145,0.9185,0.9315,0.004,0.007,0.0045
"result.42",0.8975,0.8965,0.9185,0.0015,0.004,0.002
"result.43",0.9055,0.9,0.923,5e-04,5e-04,5e-04
"result.44",0.9115,0.912,0.9255,0.0025,0.0065,0.0025
"result.45",0.9035,0.909,0.924,0.0015,0.004,0.0025
"result.46",0.885,0.8825,0.905,0.002,0.0045,0.002
"result.47",0.8995,0.9065,0.925,0.003,0.006,0.003
"result.48",0.889,0.889,0.907,5e-04,0.001,0
"result.49",0.902,0.908,0.9245,0.0015,0.004,0.0025
"result.50",0.9045,0.9,0.9175,0.0025,0.004,0.002
