"","V1","V2","V3","V4","V5","V6"
"result.1",0.905,0.899,0.9155,0.001,0.0015,5e-04
"result.2",0.9095,0.908,0.9225,0.0015,0.003,0
"result.3",0.8945,0.8975,0.9075,0,0.003,0.001
"result.4",0.908,0.91,0.923,0.001,0.0015,5e-04
"result.5",0.8955,0.8935,0.9115,5e-04,5e-04,5e-04
"result.6",0.901,0.899,0.911,5e-04,0.001,0.001
"result.7",0.899,0.895,0.906,0.0015,0.001,5e-04
"result.8",0.8965,0.8935,0.911,5e-04,0.001,5e-04
"result.9",0.9005,0.8965,0.904,5e-04,0.0015,0.001
"result.10",0.909,0.906,0.9165,5e-04,5e-04,5e-04
"result.11",0.9065,0.9025,0.9145,5e-04,0.001,0
"result.12",0.916,0.9115,0.924,5e-04,0.002,5e-04
"result.13",0.9055,0.9105,0.9205,5e-04,0.001,0
"result.14",0.893,0.8915,0.902,0,0.001,5e-04
"result.15",0.9155,0.918,0.9255,0,5e-04,0
"result.16",0.895,0.9,0.9085,5e-04,0,0
"result.17",0.901,0.9005,0.908,0.002,0.003,0.001
"result.18",0.898,0.9055,0.915,5e-04,0.002,0
"result.19",0.89,0.9005,0.9085,0.0015,0.002,0.001
"result.20",0.8995,0.8985,0.908,0.0025,0.0035,0.0025
"result.21",0.894,0.892,0.904,5e-04,0.001,5e-04
"result.22",0.891,0.887,0.901,5e-04,0.0015,5e-04
"result.23",0.8975,0.897,0.9105,0.0015,0.0025,0.0015
"result.24",0.8985,0.9045,0.9125,0,5e-04,0
"result.25",0.9115,0.9095,0.9185,5e-04,0.001,0
"result.26",0.891,0.895,0.9065,0.001,0.001,0.001
"result.27",0.891,0.8875,0.899,0.001,0.0015,5e-04
"result.28",0.9155,0.916,0.925,0.0015,0.0025,0.0015
"result.29",0.8905,0.891,0.9045,5e-04,0,0
"result.30",0.8965,0.892,0.9105,5e-04,0,0
"result.31",0.909,0.9055,0.92,0.001,0.001,0.001
"result.32",0.908,0.8995,0.9135,0,0.001,0
"result.33",0.8895,0.901,0.911,0.001,0.001,0.001
"result.34",0.8935,0.8945,0.9075,0.001,0.0015,0.001
"result.35",0.9025,0.9045,0.916,0.002,0.002,5e-04
"result.36",0.901,0.9015,0.913,0,5e-04,0
"result.37",0.9085,0.9035,0.917,5e-04,0.001,5e-04
"result.38",0.8935,0.8885,0.9045,0,0,0
"result.39",0.916,0.915,0.927,0.001,0.0015,0.0015
"result.40",0.892,0.8865,0.899,0.0015,5e-04,5e-04
"result.41",0.913,0.915,0.9235,0,0.0015,5e-04
"result.42",0.9015,0.9035,0.9085,5e-04,5e-04,5e-04
"result.43",0.913,0.909,0.921,0,0,0
"result.44",0.897,0.895,0.9095,0.001,0.002,5e-04
"result.45",0.9045,0.899,0.912,5e-04,0,0
"result.46",0.8725,0.8655,0.878,0,5e-04,5e-04
"result.47",0.898,0.9005,0.911,5e-04,0.002,0.001
"result.48",0.9,0.8965,0.9125,5e-04,0,5e-04
"result.49",0.904,0.9045,0.911,5e-04,0,0
"result.50",0.9085,0.9115,0.917,5e-04,0.0015,0.001
